4
0,602,458,NONAME,0
0,234,173,NONAME,0
1,377,357,RangedEnemy,0
10,250,20,50
1,283,430,RangedEnemy,0
10,250,20,50
0,234,173,NONAME,0
0,234,173,NONAME,0
1,377,357,RangedEnemy,0
10,250,20,50
1,283,430,RangedEnemy,0
10,250,20,50
1,377,357,RangedEnemy,0
10,250,20,50
0,234,173,NONAME,0
1,377,357,RangedEnemy,0
10,250,20,50
1,283,430,RangedEnemy,0
10,250,20,50
1,283,430,RangedEnemy,0
10,250,20,50
0,234,173,NONAME,0
1,377,357,RangedEnemy,0
10,250,20,50
1,283,430,RangedEnemy,0
10,250,20,50
